Teff,logg,Mbol,BC,U,B,V,R,I,J,H,Ks,Y,J,H,K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,u,g,r,i,z,g,r,i,z,y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age,logL,mass,spectral_type
4750.0,7.884,14.963,-0.222,15.915,15.981,15.185,14.679,14.174,13.719,13.513,13.552,13.917,13.68,13.492,13.533,13.749,13.835,13.664,13.28,13.774,13.831,13.842,13.788,16.749,15.589,14.912,14.66,14.555,15.478,14.907,14.655,14.562,14.535,14.895,15.337,14.285,14.914,15.357,14.299,25.688,19.844,5468000000.0,-4.0652,0.5,DB
5000.0,7.883,14.738,-0.175,15.494,15.638,14.913,14.45,13.987,13.587,13.392,13.403,13.765,13.548,13.371,13.382,13.565,13.642,13.473,13.102,13.588,13.639,13.648,13.595,16.327,15.274,14.671,14.459,14.383,15.173,14.667,14.455,14.386,14.375,14.657,15.052,14.088,14.676,15.073,14.103,24.682,19.213,4889000000.0,-3.9751999999999996,0.5,DB
5250.0,7.882,14.523,-0.141,15.117,15.328,14.664,14.238,13.812,13.461,13.276,13.262,13.621,13.423,13.256,13.239,13.38,13.445,13.271,12.937,13.399,13.442,13.446,13.39,15.949,14.987,14.449,14.272,14.222,14.896,14.446,14.269,14.221,14.223,14.435,14.79,13.904,14.454,14.813,13.92,23.784,18.649,4058000000.0,-3.8891999999999998,0.5,DB
5500.0,7.88,14.316,-0.116,14.766,15.041,14.433,14.042,13.65,13.343,13.168,13.133,13.488,13.306,13.148,13.107,13.199,13.248,13.073,12.801,13.214,13.246,13.243,13.185,15.598,14.721,14.244,14.099,14.072,14.639,14.241,14.097,14.069,14.083,14.229,14.546,13.734,14.247,14.571,13.75,22.948,18.124,3093000000.0,-3.806400000000001,0.5,DB
5750.0,7.878,14.118,-0.101,14.444,14.776,14.22,13.86,13.5,13.233,13.069,13.018,13.364,13.196,13.048,12.99,13.03,13.056,12.891,12.692,13.039,13.055,13.044,12.986,15.275,14.476,14.053,13.939,13.933,14.402,14.051,13.937,13.927,13.952,14.036,14.319,13.576,14.054,14.346,13.592,22.172,17.64,2509000000.0,-3.7272000000000007,0.5,DB
6000.0,7.876,13.928,-0.093,14.146,14.53,14.022,13.69,13.36,13.13,12.976,12.917,13.248,13.094,12.956,12.888,12.883,12.886,12.745,12.614,12.885,12.886,12.87,12.819,14.976,14.248,13.877,13.79,13.803,14.182,13.875,13.789,13.794,13.83,13.856,14.108,13.428,13.874,14.137,13.445,21.45,17.192,2108000000.0,-3.6512000000000002,0.5,DB
6250.0,7.874,13.747,-0.091,13.873,14.304,13.838,13.532,13.227,13.031,12.89,12.829,13.137,12.996,12.869,12.799,12.765,12.751,12.637,12.556,12.763,12.751,12.732,12.689,14.703,14.038,13.712,13.649,13.681,13.978,13.711,13.649,13.669,13.715,13.687,13.912,13.289,13.705,13.942,13.307,20.794,16.784,1844000000.0,-3.5787999999999998,0.5,DB
6500.0,7.873,13.573,-0.094,13.62,14.094,13.667,13.384,13.105,12.94,12.811,12.752,13.035,12.906,12.79,12.722,12.671,12.646,12.555,12.509,12.666,12.647,12.627,12.591,14.45,13.842,13.558,13.519,13.567,13.788,13.558,13.519,13.553,13.607,13.529,13.728,13.16,13.546,13.76,13.178,20.186,16.406,1656000000.0,-3.5092,0.5,DB
6750.0,7.872,13.406,-0.101,13.384,13.898,13.508,13.247,12.99,12.855,12.738,12.683,12.939,12.821,12.716,12.653,12.595,12.564,12.495,12.47,12.588,12.565,12.546,12.518,14.214,13.659,13.415,13.397,13.46,13.612,13.415,13.398,13.445,13.506,13.381,13.556,13.039,13.398,13.59,13.058,19.619,16.056,1504000000.0,-3.4424000000000006,0.5,DB
7000.0,7.871,13.245,-0.113,13.167,13.716,13.358,13.117,12.881,12.773,12.667,12.618,12.847,12.74,12.645,12.588,12.529,12.498,12.445,12.435,12.522,12.499,12.481,12.46,13.996,13.489,13.28,13.281,13.358,13.447,13.281,13.283,13.341,13.41,13.241,13.396,12.925,13.258,13.431,12.944,19.096,15.732,1372000000.0,-3.378,0.5,DB
7500.0,7.869,12.941,-0.145,12.774,13.386,13.085,12.878,12.679,12.619,12.534,12.498,12.675,12.587,12.512,12.469,12.418,12.39,12.36,12.373,12.411,12.391,12.378,12.365,13.604,13.18,13.033,13.068,13.169,13.147,13.034,13.07,13.149,13.231,12.983,13.102,12.712,13.0,13.14,12.732,18.166,15.154,1150000000.0,-3.2564000000000006,0.5,DB
8000.0,7.866,12.655,-0.188,12.427,13.094,12.843,12.665,12.497,12.479,12.413,12.39,12.52,12.447,12.39,12.361,12.323,12.303,12.306,12.342,12.318,12.304,12.297,12.296,13.257,12.905,12.813,12.876,12.999,12.88,12.815,12.879,12.976,13.069,12.753,12.839,12.522,12.769,12.88,12.543,17.345,14.643,974600000.0,-3.142,0.5,DB
8500.0,7.864,12.386,-0.25,12.127,12.843,12.636,12.483,12.342,12.357,12.307,12.297,12.386,12.326,12.284,12.269,12.248,12.243,12.263,12.266,12.246,12.242,12.246,12.254,12.957,12.67,12.625,12.713,12.853,12.652,12.627,12.716,12.828,12.93,12.554,12.614,12.359,12.57,12.657,12.38,16.646,14.191,832800000.0,-3.0343999999999998,0.5,DB
9000.0,7.862,12.132,-0.31,11.85,12.61,12.442,12.312,12.197,12.244,12.21,12.211,12.261,12.215,12.186,12.184,12.176,12.178,12.201,12.191,12.175,12.176,12.184,12.194,12.681,12.451,12.449,12.56,12.716,12.439,12.451,12.564,12.689,12.8,12.367,12.403,12.207,12.383,12.449,12.228,15.982,13.779,716600000.0,-2.9328,0.5,DB
9500.0,7.86,11.892,-0.379,11.601,12.402,12.27,12.161,12.068,12.145,12.124,12.135,12.151,12.115,12.099,12.108,12.111,12.118,12.14,12.125,12.111,12.116,12.127,12.136,12.432,12.255,12.293,12.424,12.596,12.249,12.296,12.429,12.566,12.685,12.201,12.214,12.071,12.217,12.262,12.093,15.39,13.404,620200000.0,-2.8367999999999998,0.5,DB
10000.0,7.857,11.663,-0.453,11.377,12.214,12.116,12.026,11.952,12.055,12.047,12.066,12.052,12.026,12.021,12.04,12.051,12.062,12.081,12.065,12.053,12.061,12.072,12.08,12.208,12.079,12.153,12.302,12.487,12.079,12.156,12.307,12.456,12.582,12.051,12.044,11.95,12.066,12.094,11.972,14.862,13.063,539500000.0,-2.7452,0.5,DB
11000.0,7.852,11.237,-0.609,10.989,11.89,11.846,11.787,11.746,11.89,11.901,11.935,11.872,11.863,11.875,11.909,11.936,11.954,11.969,11.955,11.939,11.951,11.964,11.971,11.82,11.773,11.908,12.087,12.292,11.781,11.911,12.092,12.258,12.396,11.786,11.745,11.735,11.801,11.8,11.757,13.963,12.473,413200000.0,-2.5748,0.5,DB
12000.0,7.848,10.847,-0.768,10.664,11.616,11.615,11.584,11.571,11.753,11.781,11.827,11.721,11.726,11.755,11.802,11.838,11.856,11.867,11.856,11.842,11.854,11.865,11.869,11.496,11.514,11.7,11.904,12.128,11.529,11.703,11.91,12.091,12.239,11.56,11.492,11.552,11.575,11.55,11.575,13.223,11.981,320600000.0,-2.4188,0.5,DB
13000.0,7.844,10.489,-0.923,10.388,11.379,11.412,11.404,11.415,11.628,11.671,11.726,11.585,11.602,11.644,11.701,11.743,11.761,11.772,11.763,11.748,11.759,11.769,11.773,11.221,11.289,11.515,11.741,11.98,11.308,11.518,11.747,11.942,12.098,11.361,11.271,11.389,11.375,11.332,11.413,12.604,11.568,250400000.0,-2.2756000000000003,0.5,DB
14000.0,7.839,10.157,-1.069,10.15,11.167,11.226,11.238,11.269,11.509,11.564,11.626,11.455,11.483,11.536,11.602,11.648,11.666,11.679,11.67,11.653,11.665,11.674,11.679,10.983,11.085,11.344,11.588,11.841,11.109,11.348,11.596,11.801,11.964,11.179,11.071,11.237,11.192,11.134,11.261,12.077,11.217,195700000.0,-2.1428000000000003,0.5,DB
15000.0,7.835,9.848,-1.203,9.941,10.976,11.051,11.08,11.128,11.389,11.456,11.525,11.327,11.364,11.428,11.501,11.552,11.571,11.584,11.572,11.556,11.569,11.579,11.584,10.775,10.899,11.183,11.443,11.706,10.925,11.186,11.45,11.665,11.833,11.009,10.887,11.091,11.022,10.952,11.115,11.623,10.915,153100000.0,-2.0192000000000005,0.5,DB
16000.0,7.832,9.557,-1.329,9.757,10.801,10.887,10.93,10.991,11.269,11.345,11.42,11.2,11.245,11.317,11.396,11.453,11.474,11.486,11.471,11.458,11.472,11.482,11.487,10.591,10.727,11.031,11.303,11.574,10.754,11.034,11.31,11.532,11.703,10.849,10.718,10.951,10.862,10.784,10.976,11.228,10.651,119400000.0,-1.9028000000000003,0.5,DB
17000.0,7.827,9.284,-1.452,9.593,10.644,10.735,10.792,10.863,11.152,11.237,11.316,11.077,11.128,11.208,11.292,11.355,11.379,11.395,11.382,11.361,11.377,11.389,11.394,10.428,10.572,10.891,11.172,11.449,10.599,10.893,11.18,11.407,11.579,10.703,10.565,10.82,10.716,10.631,10.845,10.879,10.418,92710000.0,-1.7936000000000003,0.5,DB
18000.0,7.823,9.025,-1.577,9.448,10.505,10.602,10.67,10.75,11.045,11.136,11.218,10.966,11.021,11.107,11.195,11.264,11.293,11.315,11.308,11.271,11.29,11.305,11.313,10.283,10.434,10.767,11.057,11.338,10.462,10.769,11.065,11.296,11.468,10.574,10.429,10.705,10.587,10.497,10.73,10.567,10.209,71810000.0,-1.6900000000000002,0.5,DB
19000.0,7.819,8.779,-1.709,9.32,10.384,10.488,10.566,10.654,10.952,11.049,11.132,10.871,10.928,11.02,11.109,11.183,11.217,11.247,11.244,11.191,11.214,11.232,11.243,10.156,10.315,10.661,10.958,11.244,10.343,10.663,10.966,11.202,11.374,10.463,10.312,10.606,10.476,10.38,10.632,10.288,10.022,55800000.0,-1.5916000000000001,0.5,DB
20000.0,7.814,8.545,-1.846,9.207,10.28,10.391,10.478,10.573,10.875,10.976,11.06,10.792,10.852,10.947,11.037,11.114,11.151,11.188,11.188,11.122,11.148,11.168,11.181,10.044,10.213,10.572,10.875,11.165,10.242,10.573,10.884,11.123,11.295,10.368,10.211,10.523,10.381,10.279,10.549,10.04,9.857,43820000.0,-1.498,0.5,DB
21000.0,7.809,8.321,-1.991,9.114,10.194,10.313,10.407,10.509,10.815,10.919,11.002,10.73,10.791,10.89,10.979,11.057,11.095,11.136,11.138,11.065,11.092,11.113,11.129,9.951,10.129,10.5,10.809,11.103,10.16,10.501,10.818,11.061,11.233,10.291,10.129,10.457,10.304,10.198,10.483,9.823,9.719,34970000.0,-1.4083999999999999,0.5,DB
22000.0,7.805,8.108,-2.151,9.049,10.134,10.259,10.358,10.465,10.773,10.878,10.962,10.687,10.75,10.85,10.939,11.016,11.053,11.095,11.099,11.023,11.05,11.071,11.087,9.886,10.071,10.45,10.764,11.06,10.102,10.451,10.772,11.017,11.19,10.237,10.071,10.411,10.25,10.141,10.437,9.662,9.621,28440000.0,-1.3232000000000004,0.5,DB
23000.0,7.8,7.903,-2.32,9.007,10.094,10.223,10.324,10.434,10.744,10.85,10.932,10.658,10.721,10.821,10.909,10.984,11.02,11.062,11.066,10.992,11.017,11.038,11.053,9.844,10.032,10.416,10.733,11.03,10.064,10.417,10.741,10.987,11.161,10.201,10.033,10.38,10.214,10.103,10.406,9.55,9.56,23560000.0,-1.2411999999999999,0.5,DB
24000.0,7.795,7.706,-2.483,8.966,10.055,10.189,10.292,10.405,10.716,10.821,10.902,10.629,10.693,10.792,10.879,10.952,10.987,11.028,11.034,10.96,10.984,11.004,11.02,9.804,9.995,10.383,10.702,11.001,10.027,10.385,10.711,10.958,11.132,10.167,9.997,10.35,10.179,10.067,10.376,9.439,9.501,19860000.0,-1.1624000000000003,0.5,DB
25000.0,7.791,7.517,-2.628,8.911,10.004,10.144,10.251,10.367,10.68,10.784,10.866,10.592,10.657,10.756,10.843,10.915,10.949,10.99,10.996,10.922,10.946,10.966,10.981,9.749,9.946,10.341,10.663,10.964,9.98,10.343,10.672,10.921,11.095,10.122,9.949,10.31,10.134,10.019,10.336,9.302,9.421,17010000.0,-1.0868000000000002,0.5,DB
26000.0,7.786,7.335,-2.756,8.842,9.942,10.09,10.2,10.32,10.637,10.742,10.824,10.548,10.614,10.713,10.801,10.872,10.906,10.948,10.955,10.88,10.903,10.923,10.939,9.68,9.886,10.29,10.616,10.918,9.921,10.292,10.625,10.875,11.051,10.067,9.89,10.263,10.079,9.961,10.289,9.155,9.323,14740000.0,-1.014,0.5,DB
27000.0,7.781,7.159,-2.872,8.765,9.872,10.031,10.144,10.269,10.591,10.697,10.779,10.501,10.568,10.668,10.756,10.828,10.862,10.905,10.913,10.835,10.859,10.879,10.895,9.603,9.82,10.233,10.563,10.869,9.856,10.235,10.572,10.825,11.002,10.006,9.824,10.21,10.018,9.896,10.236,9.013,9.217,12900000.0,-0.9436,0.5,DB
28000.0,7.776,6.989,-2.98,8.683,9.8,9.968,10.085,10.215,10.543,10.65,10.733,10.45,10.52,10.621,10.71,10.782,10.816,10.861,10.87,10.789,10.813,10.834,10.85,9.522,9.751,10.173,10.508,10.816,9.789,10.175,10.517,10.772,10.951,9.942,9.755,10.154,9.954,9.828,10.181,8.878,9.109,11390000.0,-0.8756,0.5,DB
29000.0,7.771,6.824,-3.082,8.601,9.728,9.906,10.026,10.161,10.493,10.602,10.687,10.399,10.471,10.573,10.664,10.736,10.771,10.817,10.827,10.744,10.768,10.788,10.806,9.44,9.682,10.112,10.452,10.763,9.722,10.115,10.461,10.719,10.899,9.877,9.687,10.098,9.889,9.76,10.124,8.747,9.003,10120000.0,-0.8096,0.5,DB
30000.0,7.766,6.664,-3.18,8.519,9.657,9.844,9.966,10.105,10.443,10.554,10.64,10.348,10.421,10.525,10.617,10.69,10.725,10.773,10.786,10.698,10.722,10.744,10.761,9.358,9.614,10.052,10.395,10.709,9.656,10.055,10.404,10.664,10.846,9.813,9.618,10.041,9.825,9.692,10.068,8.62,8.9,9034000.0,-0.7455999999999999,0.5,DB
31000.0,7.761,6.509,-3.274,8.439,9.587,9.783,9.907,10.05,10.393,10.505,10.593,10.296,10.371,10.476,10.57,10.645,10.68,10.73,10.745,10.652,10.677,10.699,10.717,9.278,9.547,9.992,10.339,10.655,9.59,9.995,10.348,10.61,10.793,9.75,9.551,9.985,9.762,9.626,10.011,8.496,8.799,8109000.0,-0.6836000000000002,0.5,DB
32000.0,7.756,6.359,-3.364,8.36,9.518,9.722,9.848,9.995,10.343,10.457,10.546,10.244,10.321,10.428,10.523,10.599,10.635,10.687,10.704,10.607,10.632,10.654,10.674,9.2,9.481,9.933,10.283,10.601,9.526,9.936,10.292,10.556,10.741,9.688,9.484,9.928,9.699,9.56,9.955,8.375,8.7,7306000.0,-0.6236,0.5,DB
33000.0,7.751,6.212,-3.45,8.283,9.45,9.662,9.79,9.94,10.294,10.409,10.499,10.193,10.271,10.379,10.476,10.553,10.591,10.644,10.665,10.561,10.588,10.61,10.63,9.122,9.416,9.874,10.227,10.548,9.462,9.877,10.236,10.502,10.688,9.626,9.418,9.872,9.637,9.495,9.899,8.256,8.603,6607000.0,-0.5648,0.5,DB
34000.0,7.746,6.07,-3.532,8.205,9.382,9.601,9.732,9.886,10.244,10.36,10.452,10.142,10.221,10.331,10.429,10.508,10.546,10.602,10.627,10.516,10.543,10.566,10.587,9.045,9.351,9.815,10.171,10.494,9.398,9.819,10.18,10.448,10.636,9.564,9.353,9.817,9.575,9.43,9.843,8.138,8.507,5994000.0,-0.5080000000000002,0.5,DB
35000.0,7.741,5.931,-3.611,8.13,9.316,9.542,9.674,9.831,10.194,10.312,10.405,10.091,10.172,10.283,10.382,10.462,10.502,10.561,10.589,10.471,10.498,10.522,10.544,8.969,9.287,9.757,10.116,10.441,9.335,9.76,10.125,10.394,10.584,9.503,9.288,9.761,9.514,9.366,9.788,8.02,8.412,5451000.0,-0.4524000000000001,0.5,DB
36000.0,7.735,5.795,-3.687,8.055,9.249,9.482,9.617,9.777,10.144,10.264,10.358,10.039,10.122,10.234,10.335,10.417,10.457,10.52,10.552,10.426,10.454,10.479,10.502,8.894,9.223,9.699,10.06,10.388,9.273,9.703,10.07,10.341,10.532,9.442,9.224,9.706,9.453,9.303,9.732,7.903,8.319,4965000.0,-0.398,0.5,DB
37000.0,7.73,5.663,-3.76,7.98,9.183,9.423,9.559,9.722,10.094,10.215,10.311,9.988,10.072,10.186,10.288,10.372,10.413,10.48,10.515,10.38,10.41,10.436,10.46,8.82,9.159,9.641,10.005,10.334,9.21,9.644,10.014,10.287,10.48,9.381,9.159,9.65,9.391,9.239,9.677,7.786,8.226,4530000.0,-0.3452000000000002,0.5,DB
38000.0,7.724,5.533,-3.829,7.905,9.116,9.362,9.501,9.667,10.043,10.166,10.263,9.936,10.021,10.137,10.241,10.326,10.369,10.44,10.478,10.335,10.365,10.392,10.418,8.745,9.095,9.582,9.949,10.28,9.147,9.586,9.959,10.233,10.427,9.319,9.094,9.594,9.33,9.175,9.621,7.666,8.132,4136000.0,-0.29320000000000024,0.5,DB
39000.0,7.719,5.407,-3.895,7.829,9.049,9.301,9.442,9.611,9.992,10.116,10.215,9.883,9.97,10.087,10.193,10.28,10.324,10.399,10.44,10.289,10.32,10.349,10.376,8.669,9.03,9.523,9.892,10.226,9.083,9.527,9.902,10.178,10.373,9.257,9.029,9.537,9.267,9.11,9.564,7.545,8.037,3776000.0,-0.24280000000000007,0.5,DB
40000.0,7.713,5.283,-3.956,7.752,8.981,9.239,9.382,9.555,9.94,10.066,10.166,9.83,9.918,10.036,10.144,10.233,10.279,10.359,10.401,10.243,10.275,10.305,10.334,8.593,8.964,9.462,9.834,10.17,9.018,9.466,9.844,10.122,10.319,9.194,8.962,9.479,9.204,9.044,9.506,7.421,7.941,3448000.0,-0.1932000000000002,0.5,DB
42500.0,7.699,4.984,-4.097,7.554,8.806,9.081,9.229,9.408,9.805,9.935,10.04,9.692,9.784,9.905,10.018,10.112,10.16,10.235,10.256,10.122,10.156,10.187,10.215,8.395,8.795,9.308,9.686,10.027,8.853,9.312,9.696,9.978,10.179,9.032,8.791,9.331,9.042,8.875,9.358,7.112,7.693,2748000.0,-0.07360000000000007,0.5,DB
45000.0,7.685,4.7,-4.191,7.317,8.596,8.891,9.046,9.237,9.649,9.785,9.895,9.532,9.628,9.755,9.874,9.973,10.023,10.09,10.089,9.984,10.019,10.049,10.076,8.158,8.593,9.124,9.511,9.859,8.654,9.128,9.521,9.809,10.015,8.838,8.586,9.157,8.847,8.672,9.184,6.794,7.404,2176000.0,0.039999999999999855,0.5,DB
47500.0,7.67,4.427,-4.212,7.008,8.323,8.639,8.791,8.983,9.409,9.543,9.655,9.295,9.388,9.513,9.633,9.727,9.772,9.827,9.826,9.737,9.769,9.795,9.816,7.849,8.329,8.869,9.256,9.609,8.397,8.874,9.266,9.557,9.774,8.577,8.315,8.904,8.585,8.405,8.932,6.535,7.112,1702000.0,0.14920000000000008,0.5,DB
50000.0,7.654,4.165,-4.359,6.876,8.201,8.524,8.672,8.864,9.292,9.421,9.532,9.178,9.27,9.392,9.51,9.604,9.65,9.715,9.728,9.614,9.646,9.675,9.7,7.716,8.21,8.751,9.137,9.491,8.279,8.756,9.147,9.438,9.657,8.458,8.194,8.786,8.466,8.284,8.813,6.414,6.988,1308000.0,0.2539999999999999,0.5,DB
52500.0,7.638,3.912,-4.536,6.791,8.121,8.448,8.596,8.79,9.218,9.348,9.459,9.104,9.197,9.318,9.437,9.53,9.577,9.643,9.657,9.54,9.573,9.602,9.627,7.632,8.131,8.675,9.061,9.416,8.201,8.68,9.072,9.363,9.584,8.38,8.115,8.71,8.388,8.206,8.737,6.321,6.901,980200.0,0.35519999999999996,0.5,DB
55000.0,7.621,3.669,-4.71,6.716,8.048,8.379,8.527,8.721,9.151,9.281,9.391,9.037,9.13,9.251,9.369,9.463,9.509,9.575,9.589,9.473,9.506,9.534,9.559,7.557,8.06,8.606,8.993,9.348,8.13,8.611,9.003,9.295,9.516,8.31,8.043,8.642,8.318,8.134,8.669,6.235,6.821,714000.0,0.4523999999999999,0.5,DB
57500.0,7.605,3.436,-4.876,6.644,7.979,8.312,8.461,8.656,9.087,9.216,9.327,8.972,9.065,9.187,9.305,9.398,9.444,9.511,9.524,9.408,9.441,9.469,9.494,7.485,7.991,8.539,8.927,9.283,8.062,8.545,8.938,9.23,9.452,8.243,7.975,8.576,8.25,8.066,8.603,6.152,6.745,508300.0,0.5456,0.5,DB
60000.0,7.59,3.212,-5.035,6.575,7.912,8.247,8.397,8.593,9.024,9.153,9.264,8.909,9.003,9.124,9.242,9.335,9.382,9.448,9.46,9.345,9.378,9.407,9.432,7.416,7.925,8.475,8.864,9.22,7.996,8.48,8.874,9.167,9.388,8.177,7.908,8.512,8.185,7.999,8.54,6.071,6.67,353200.0,0.6351999999999999,0.5,DB
65000.0,7.562,2.795,-5.327,6.441,7.781,8.122,8.272,8.47,8.903,9.033,9.144,8.787,8.882,9.003,9.122,9.215,9.262,9.328,9.338,9.225,9.258,9.287,9.312,7.283,7.796,8.35,8.741,9.098,7.868,8.355,8.751,9.045,9.266,8.05,7.779,8.389,8.058,7.871,8.416,5.911,6.524,158000.0,0.8019999999999999,0.5,DB
70000.0,7.539,2.417,-5.589,6.318,7.662,8.006,8.158,8.359,8.793,8.924,9.035,8.676,8.772,8.894,9.014,9.108,9.156,9.222,9.228,9.118,9.152,9.181,9.207,7.16,7.677,8.236,8.628,8.987,7.75,8.241,8.639,8.934,9.155,7.933,7.661,8.276,7.941,7.753,8.303,5.76,6.388,0.0,0.9532,0.5,DB
75000.0,7.524,2.079,-5.826,6.21,7.556,7.905,8.058,8.261,8.698,8.83,8.943,8.58,8.676,8.8,8.921,9.016,9.065,9.131,9.132,9.027,9.061,9.091,9.116,7.052,7.573,8.135,8.53,8.89,7.646,8.141,8.54,8.836,9.058,7.831,7.556,8.177,7.838,7.649,8.205,5.624,6.266,0.0,1.0883999999999998,0.5,DB
80000.0,7.487,1.707,-6.043,6.049,7.398,7.75,7.906,8.11,8.55,8.684,8.798,8.431,8.529,8.654,8.776,8.873,8.922,8.985,8.979,8.884,8.918,8.948,8.972,6.891,7.416,7.982,8.379,8.74,7.489,7.987,8.389,8.686,8.909,7.676,7.399,8.026,7.683,7.492,8.053,5.436,6.092,0.0,1.2372,0.5,DB
85000.0,7.439,1.324,-6.243,5.859,7.211,7.567,7.724,7.931,8.374,8.509,8.624,8.253,8.353,8.479,8.603,8.701,8.75,8.808,8.793,8.712,8.746,8.775,8.798,6.701,7.23,7.8,8.199,8.561,7.304,7.806,8.21,8.508,8.731,7.492,7.213,7.846,7.499,7.306,7.873,5.22,5.889,0.0,1.3904,0.5,DB
90000.0,7.391,0.955,-6.429,5.67,7.025,7.384,7.543,7.753,8.198,8.335,8.452,8.077,8.177,8.306,8.43,8.528,8.576,8.627,8.604,8.539,8.572,8.6,8.62,6.512,7.045,7.619,8.02,8.384,7.119,7.624,8.03,8.33,8.553,7.308,7.028,7.666,7.316,7.122,7.694,5.007,5.688,0.0,1.5379999999999998,0.5,DB
100000.0,7.291,0.247,-6.763,5.284,6.645,7.01,7.173,7.386,7.837,7.976,8.092,7.714,7.816,7.946,8.07,8.166,8.209,8.243,8.206,8.176,8.206,8.229,8.243,6.126,6.667,7.247,7.652,8.019,6.741,7.253,7.663,7.965,8.189,6.933,6.649,7.299,6.94,6.743,7.326,4.574,5.278,0.0,1.8212,0.5,DB
110000.0,7.187,-0.426,-7.047,4.883,6.25,6.621,6.786,7.003,7.454,7.592,7.704,7.331,7.433,7.562,7.682,7.77,7.807,7.822,7.773,7.779,7.804,7.822,7.829,5.726,6.273,6.86,7.268,7.636,6.349,6.866,7.279,7.582,7.806,6.543,6.256,6.914,6.55,6.351,6.941,4.13,4.856,0.0,2.0904,0.5,DB
120000.0,7.081,-1.07,-7.271,4.457,5.827,6.2,6.366,6.582,7.026,7.159,7.265,6.906,7.005,7.129,7.242,7.321,7.35,7.346,7.289,7.329,7.348,7.36,7.36,5.3,5.851,6.44,6.848,7.214,5.926,6.445,6.859,7.16,7.382,6.121,5.833,6.493,6.128,5.928,6.521,3.67,4.412,0.0,2.348,0.5,DB
1500.0,8.04,20.162,1.13,23.681,21.406,19.032,18.954,21.305,21.316,21.035,22.76,21.39,21.244,20.895,22.733,17.82,17.088,16.232,15.317,17.498,17.082,17.119,16.793,24.703,20.22,18.802,21.426,21.093,19.858,18.88,21.5,21.172,20.932,19.553,19.473,19.984,19.594,19.479,20.052,58.804,34.597,15590000000.0,-6.144799999999999,0.6,DA
1750.0,8.04,19.492,0.943,22.986,20.87,18.55,18.262,19.863,20.164,20.153,21.58,20.202,20.086,20.022,21.548,17.35,16.689,15.916,15.103,17.06,16.687,16.686,16.395,23.989,19.749,18.145,20.065,19.866,19.394,18.212,20.121,19.888,19.85,18.888,18.907,18.938,18.922,18.912,18.993,56.672,33.426,14880000000.0,-5.8768,0.6,DA
2000.0,8.04,18.912,0.718,22.364,20.41,18.194,17.729,18.676,19.118,19.325,20.483,19.165,19.039,19.206,20.444,16.903,16.316,15.6,14.882,16.645,16.317,16.284,16.012,23.331,19.355,17.671,18.944,18.837,19.018,17.718,18.984,18.821,18.927,18.334,18.489,18.089,18.361,18.494,18.132,54.82,32.452,14260000000.0,-5.644799999999999,0.6,DA
2250.0,8.04,18.4,0.519,21.808,20.008,17.882,17.289,17.739,18.283,18.679,19.643,18.302,18.209,18.57,19.601,16.549,16.021,15.345,14.697,16.316,16.024,15.97,15.711,22.753,18.999,17.306,18.055,18.005,18.678,17.332,18.082,17.969,18.156,17.847,18.149,17.399,17.869,18.154,17.432,53.184,31.551,13680000000.0,-5.4399999999999995,0.6,DA
2500.0,8.04,17.943,0.304,21.355,19.677,17.639,16.942,17.01,17.473,17.902,18.615,17.554,17.405,17.812,18.573,16.099,15.646,15.022,14.449,15.901,15.65,15.575,15.337,22.278,18.715,17.039,17.373,17.346,18.408,17.048,17.391,17.299,17.53,17.445,17.89,16.853,17.462,17.895,16.877,51.826,30.827,13120000000.0,-5.2572,0.6,DA
2750.0,8.04,17.528,0.111,20.918,19.361,17.417,16.647,16.4,16.808,17.288,17.835,16.883,16.747,17.21,17.796,15.74,15.344,14.759,14.239,15.571,15.351,15.262,15.042,21.821,18.443,16.821,16.821,16.774,18.151,16.819,16.83,16.726,16.958,17.085,17.663,16.386,17.099,17.668,16.404,50.427,30.097,12590000000.0,-5.091199999999999,0.6,DA
3000.0,8.04,17.15,-0.055,20.495,19.053,17.205,16.393,15.92,16.211,16.718,17.143,16.27,16.157,16.649,17.106,15.406,15.063,14.508,14.031,15.262,15.07,14.972,14.765,21.383,18.18,16.627,16.396,16.301,17.903,16.619,16.396,16.261,16.451,16.77,17.45,16.0,16.783,17.456,16.013,49.009,29.366,12080000000.0,-4.9399999999999995,0.6,DA
3250.0,8.039,16.802,-0.191,20.059,18.739,16.993,16.169,15.558,15.658,16.153,16.483,15.704,15.611,16.092,16.45,15.073,14.781,14.249,13.815,14.954,14.789,14.683,14.485,20.938,17.914,16.443,16.074,15.923,17.652,16.432,16.069,15.9,16.009,16.498,17.239,15.689,16.513,17.245,15.7,47.493,28.589,11570000000.0,-4.8008,0.6,DA
3500.0,8.039,16.479,-0.293,19.598,18.409,16.772,15.967,15.293,15.152,15.591,15.851,15.214,15.111,15.537,15.82,14.735,14.49,13.979,13.592,14.638,14.499,14.387,14.196,20.472,17.634,16.256,15.83,15.636,17.39,16.245,15.822,15.633,15.655,16.262,17.018,15.443,16.28,17.025,15.453,45.825,27.764,11060000000.0,-4.6716,0.6,DA
