Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,logR
0.00015547,-2.0,6.75,4.8000001907,2.6129837036,4.798,2.821,4.3616,4.696,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-2.283,0.04,-0.08,0.27,0.21156393546747276
0.00015547,-2.0,6.75,5.0,2.6140668392,4.999,2.881,4.3704,4.69,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-2.432,-0.059,-0.181,0.176,0.22347538202786163
0.00015547,-2.0,6.75,5.1999998093,2.6150546074,5.2,2.938,4.3788,4.684,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-2.574,-0.154,-0.278,0.086,0.23503548546896616
0.00015547,-2.0,6.75,5.4000000954,2.6159586906,5.401,2.992,4.3867,4.677,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-2.71,-0.245,-0.372,-0.001,0.24677090229216359
0.00015547,-2.0,7.0,1.9500000477,2.5663545132,1.95,1.44,4.1169,4.708,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.751,0.2489,2.902e-05,7.924e-06,7.198e-05,-1.0,0.0001636,1.171,2.073,2.025,2.164,0.010051119332825624
0.00015547,-2.0,7.0,2.0,2.5685424805,2.0,1.481,4.1257,4.713,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.751,0.2489,2.902e-05,7.924e-06,7.198e-05,-1.0,0.0001636,1.067,2.02,1.969,2.117,0.01304881148355725
0.00015547,-2.0,7.0,2.0499999523,2.5706083775,2.05,1.522,4.1344,4.717,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.751,0.2488,2.902e-05,7.924e-06,7.198e-05,-1.0,0.0001637,0.965,1.968,1.914,2.069,0.016410744179443965
0.00015547,-2.0,7.0,2.0999999046,2.5725615025,2.099,1.562,4.1428,4.721,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.751,0.2488,2.902e-05,7.924e-06,7.198e-05,-1.0,0.0001636,0.865,1.916,1.86,2.023,0.019540032942766888
0.00015547,-2.0,7.0,2.1500000954,2.574410677,2.149,1.6,4.1507,4.725,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.751,0.2488,2.902e-05,7.924e-06,7.197e-05,-1.0,0.0001636,0.77,1.866,1.807,1.978,0.022652021397288558
0.00015547,-2.0,7.0,2.2000000477,2.5761635303,2.199,1.638,4.1586,4.729,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.751,0.2488,2.902e-05,7.924e-06,7.197e-05,-1.0,0.0001637,0.676,1.819,1.758,1.935,0.025646428331961846
0.00015547,-2.0,7.0,2.25,2.5778269768,2.249,1.674,4.1663,4.733,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.751,0.2488,2.902e-05,7.924e-06,7.197e-05,-1.0,0.0001637,0.584,1.772,1.708,1.892,0.02852854136938301
0.00015547,-2.0,7.0,2.2999999523,2.5794074535,2.299,1.71,4.1737,4.736,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.751,0.2488,2.902e-05,7.924e-06,7.197e-05,-1.0,0.0001636,0.495,1.726,1.66,1.851,0.03180329928620637
0.00015547,-2.0,7.0,2.4000000954,2.5823426247,2.399,1.778,4.1873,4.741,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,0.325,1.635,1.565,1.768,0.03854893763548218
0.00015547,-2.0,7.0,2.5553190708,2.5863816738,2.555,1.877,4.2052,4.741,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,0.077,1.492,1.416,1.635,0.052229265886932635
0.00015547,-2.0,7.0,2.5999999046,2.5874414444,2.6,1.905,4.2102,4.741,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,0.008,1.453,1.375,1.599,0.05602048763697582
0.00015547,-2.0,7.0,2.7999999523,2.591711998,2.8,2.02,4.2325,4.748,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.279,1.296,1.212,1.455,0.06861282932267619
0.00015547,-2.0,7.0,2.8973302841,2.593546629,2.898,2.073,4.2412,4.744,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.411,1.215,1.129,1.379,0.07808300421914471
0.00015547,-2.0,7.0,3.0,2.5953342915,3.0,2.126,4.2502,4.741,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.546,1.133,1.044,1.302,0.08709444101139811
0.00015547,-2.0,7.0,3.2000000477,2.598441124,3.199,2.225,4.2676,4.74,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-0.793,0.988,0.894,1.167,0.10154093369362018
0.00015547,-2.0,7.0,3.4000003338,2.6011312008,3.398,2.318,4.2822,4.732,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-1.024,0.842,0.744,1.029,0.11864550091807995
0.00015547,-2.0,7.0,3.5009810925,2.602355957,3.499,2.362,4.2892,4.729,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-1.135,0.772,0.672,0.963,0.1265057848930199
0.00015547,-2.0,7.0,3.5999999046,2.6034805775,3.598,2.404,4.296,4.726,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-1.24,0.706,0.604,0.901,0.134064393156333
0.00015547,-2.0,7.0,3.8000001907,2.605547905,3.798,2.485,4.3088,4.719,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-1.444,0.577,0.471,0.779,0.14931129385206587
0.00015547,-2.0,7.5,1.4500000477,2.5346016884,1.45,0.932,4.0055,4.641,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.53e-13,0.0,0.7513,0.2485,2.899e-05,7.915e-06,7.189e-05,-1.0,0.0001637,2.439,2.744,2.741,2.752,-0.02078218523094585
0.00015547,-2.0,7.5,1.5,2.5388846397,1.5,0.993,4.0189,4.649,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.37e-13,0.0,0.7514,0.2485,2.899e-05,7.914e-06,7.189e-05,-1.0,0.0001637,2.287,2.657,2.647,2.678,-0.01742055682059269
0.00015547,-2.0,7.5,1.5499999523,2.5428512096,1.55,1.051,4.0316,4.656,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.15e-13,0.0,0.7514,0.2484,2.898e-05,7.914e-06,7.188e-05,-1.0,0.0001636,2.143,2.577,2.561,2.61,-0.013800337263287384
0.00015547,-2.0,7.5,1.6000000238,2.5465342999,1.6,1.107,4.0439,4.663,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-8.48e-14,0.0,0.7514,0.2484,2.898e-05,7.913e-06,7.188e-05,-1.0,0.0001636,2.003,2.502,2.48,2.544,-0.010406195020471033
0.00015547,-2.0,7.5,1.6499998569,2.5499615669,1.649,1.16,4.0554,4.669,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7514,0.2484,2.898e-05,7.913e-06,7.187e-05,-1.0,0.0001636,1.869,2.43,2.403,2.481,-0.006855858526173706
0.00015547,-2.0,7.5,1.7000000477,2.5531582832,1.699,1.212,4.0668,4.675,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7515,0.2484,2.898e-05,7.913e-06,7.187e-05,-1.0,0.0001636,1.74,2.362,2.331,2.421,-0.0033694969139103827
0.00015547,-2.0,7.5,1.75,2.556145668,1.749,1.262,4.0776,4.681,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7515,0.2483,2.897e-05,7.912e-06,7.187e-05,-1.0,0.0001637,1.614,2.296,2.261,2.362,-7.128160909500291e-05
0.00015547,-2.0,7.5,1.7999999523,2.5589430332,1.799,1.31,4.088,4.687,0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7515,0.2484,2.897e-05,7.912e-06,7.186e-05,-1.0,0.0001564,1.494,2.233,2.195,2.307,0.0030493953243421997
0.00015547,-2.0,7.5,1.8499999046,2.5615673065,1.849,1.357,4.098,4.692,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7515,0.2483,2.897e-05,7.911e-06,7.186e-05,-1.0,0.0001637,1.377,2.172,2.131,2.252,0.006502269231153219
0.00015547,-2.0,8.0,0.0936335474,1.1156111956,0.094,-2.521,3.5631,5.134,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.39e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,11.073,11.467,12.403,10.512,-0.8614022595485841
