MH,logAge,Mini,Mass,logL,logTe,logg,label,mbolmag,Gmag,G_BPmag,G_RPmag,logR
0.0,9.0,2.1084871292,2.107,1.651,3.8688,3.538,2,0.643,0.51,0.633,0.285,0.6118660814556168
0.0,9.0,2.1085762978,2.108,1.657,3.8572,3.485,2,0.626,0.487,0.629,0.233,0.6384691169218213
0.0,9.0,2.1086807251,2.108,1.666,3.8456,3.43,2,0.606,0.463,0.624,0.179,0.6659691169218211
0.0,9.0,2.1087989807,2.108,1.67,3.8339,3.379,2,0.594,0.449,0.629,0.136,0.6914691169218211
0.0,9.0,2.1089301109,2.108,1.671,3.8226,3.333,2,0.591,0.445,0.645,0.105,0.7144691169218211
0.0,9.0,2.1090741158,2.108,1.67,3.8118,3.291,2,0.595,0.45,0.669,0.083,0.7354691169218212
0.0,9.0,2.1092369556,2.108,1.666,3.8018,3.255,2,0.605,0.461,0.7,0.068,0.7534691169218213
0.0,9.0,2.1094303131,2.108,1.659,3.7922,3.224,2,0.623,0.481,0.74,0.064,0.7689691169218211
0.0,9.0,2.1096799374,2.109,1.647,3.7824,3.197,2,0.653,0.515,0.794,0.073,0.7825721035213099
0.0,9.0,2.1099984646,2.109,1.627,3.7719,3.175,2,0.703,0.572,0.875,0.104,0.79357210352131
0.0,9.0,2.1102750301,2.109,1.605,3.7636,3.164,2,0.758,0.635,0.956,0.146,0.7990721035213099
0.0,9.0,2.1105723381,2.11,1.575,3.7551,3.159,2,0.832,0.718,1.058,0.209,0.8016750413004131
0.0,9.0,2.1108388901,2.11,1.544,3.7477,3.161,2,0.911,0.806,1.161,0.28,0.8006750413004131
0.0,9.0,2.1110694408,2.11,1.514,3.7416,3.166,2,0.985,0.888,1.257,0.349,0.7981750413004131
0.0,9.0,2.111361742,2.11,1.479,3.7339,3.171,2,1.073,0.989,1.374,0.433,0.7956750413004131
0.0,9.0,2.1115806103,2.111,1.456,3.7283,3.171,2,1.129,1.055,1.452,0.486,0.795777930305395
0.0,9.0,2.111954689,2.111,1.45,3.7198,3.144,3,1.145,1.086,1.503,0.499,0.8092779303053949
0.0,9.0,2.1124031544,2.111,1.472,3.711,3.087,3,1.09,1.05,1.487,0.444,0.8377779303053949
0.0,9.0,2.1127762794,2.112,1.51,3.7052,3.026,3,0.996,0.969,1.42,0.35,0.8683807705824541
0.0,9.0,2.1130745411,2.112,1.546,3.7013,2.974,3,0.905,0.887,1.348,0.26,0.8943807705824539
0.0,9.0,2.1133725643,2.112,1.585,3.6978,2.922,3,0.809,0.801,1.27,0.166,0.9203807705824539
0.0,9.0,2.1136674881,2.113,1.624,3.6947,2.87,3,0.71,0.71,1.187,0.069,0.9464835621777232
0.0,9.0,2.1139543056,2.113,1.663,3.6917,2.818,3,0.612,0.62,1.104,-0.028,0.9724835621777234
0.0,9.0,2.1142323017,2.113,1.702,3.6889,2.768,3,0.514,0.531,1.022,-0.124,0.9974835621777235
0.0,9.0,2.1145050526,2.113,1.741,3.6862,2.718,3,0.417,0.442,0.94,-0.218,1.0224835621777233
0.0,9.0,2.1147761345,2.114,1.78,3.6835,2.67,3,0.321,0.354,0.859,-0.312,1.0465863051372706
0.0,9.0,2.1149795055,2.114,1.808,3.6816,2.634,3,0.25,0.289,0.799,-0.381,1.0645863051372704
0.0,9.0,2.1150493622,2.114,1.818,3.681,2.621,3,0.225,0.266,0.778,-0.405,1.0710863051372703
0.0,9.0,2.1153280735,2.114,1.857,3.6784,2.571,3,0.126,0.176,0.694,-0.501,1.0960863051372705
0.0,9.0,2.1153979301,2.114,1.867,3.6778,2.559,3,0.101,0.153,0.673,-0.526,1.1020863051372705
0.0,9.0,2.1154661179,2.114,1.877,3.6771,2.546,3,0.077,0.131,0.653,-0.549,1.1085863051372706
0.0,9.0,2.1157362461,2.115,1.917,3.6745,2.497,3,-0.022,0.041,0.57,-0.645,1.1331889995070974
0.0,9.0,2.1160020828,2.115,1.956,3.672,2.447,3,-0.119,-0.048,0.489,-0.74,1.1581889995070973
0.0,9.0,2.1162626743,2.115,1.995,3.6693,2.398,3,-0.217,-0.137,0.409,-0.836,1.1826889995070973
0.0,9.0,2.1165177822,2.115,2.034,3.6666,2.348,3,-0.315,-0.224,0.33,-0.93,1.2076889995070974
0.0,9.0,2.1167681217,2.116,2.073,3.6639,2.298,3,-0.412,-0.311,0.252,-1.024,1.2327916453331407
0.0,9.0,2.1170089245,2.116,2.111,3.6611,2.249,3,-0.507,-0.396,0.176,-1.116,1.2572916453331406
0.0,9.0,2.1173217297,2.116,2.161,3.6575,2.184,3,-0.633,-0.507,0.077,-1.236,1.2897916453331406
