file_name,Te,logg
da09750_900.dk.dat.txt,9750,9.0
da09750_925.dk.dat.txt,9750,9.25
da09750_950.dk.dat.txt,9750,9.5
da10000_650.dk.dat.txt,10000,6.5
da10000_675.dk.dat.txt,10000,6.75
da10000_700.dk.dat.txt,10000,7.0
da10000_725.dk.dat.txt,10000,7.25
da10000_750.dk.dat.txt,10000,7.5
da10000_775.dk.dat.txt,10000,7.75
da10000_800.dk.dat.txt,10000,8.0
da10000_825.dk.dat.txt,10000,8.25
da10000_850.dk.dat.txt,10000,8.5
da10000_875.dk.dat.txt,10000,8.75
da10000_900.dk.dat.txt,10000,9.0
da10000_925.dk.dat.txt,10000,9.25
da10000_950.dk.dat.txt,10000,9.5
da10250_650.dk.dat.txt,10250,6.5
da10250_675.dk.dat.txt,10250,6.75
da10250_700.dk.dat.txt,10250,7.0
da10250_725.dk.dat.txt,10250,7.25
da10250_750.dk.dat.txt,10250,7.5
da10250_775.dk.dat.txt,10250,7.75
da10250_800.dk.dat.txt,10250,8.0
da10250_825.dk.dat.txt,10250,8.25
da10250_850.dk.dat.txt,10250,8.5
da10250_875.dk.dat.txt,10250,8.75
da10250_900.dk.dat.txt,10250,9.0
da10250_925.dk.dat.txt,10250,9.25
da10250_950.dk.dat.txt,10250,9.5
da10500_650.dk.dat.txt,10500,6.5
da10500_675.dk.dat.txt,10500,6.75
da10500_700.dk.dat.txt,10500,7.0
da10500_725.dk.dat.txt,10500,7.25
da10500_750.dk.dat.txt,10500,7.5
da10500_775.dk.dat.txt,10500,7.75
da10500_800.dk.dat.txt,10500,8.0
da10500_825.dk.dat.txt,10500,8.25
da10500_850.dk.dat.txt,10500,8.5
da10500_875.dk.dat.txt,10500,8.75
da10500_900.dk.dat.txt,10500,9.0
da10500_925.dk.dat.txt,10500,9.25
da10500_950.dk.dat.txt,10500,9.5
da10750_650.dk.dat.txt,10750,6.5
da10750_675.dk.dat.txt,10750,6.75
da10750_700.dk.dat.txt,10750,7.0
da10750_725.dk.dat.txt,10750,7.25
da10750_750.dk.dat.txt,10750,7.5
da10750_775.dk.dat.txt,10750,7.75
da10750_800.dk.dat.txt,10750,8.0
da10750_825.dk.dat.txt,10750,8.25
da10750_850.dk.dat.txt,10750,8.5
da10750_875.dk.dat.txt,10750,8.75
da10750_900.dk.dat.txt,10750,9.0
da10750_925.dk.dat.txt,10750,9.25
da10750_950.dk.dat.txt,10750,9.5
da11000_650.dk.dat.txt,11000,6.5
da11000_675.dk.dat.txt,11000,6.75
da11000_700.dk.dat.txt,11000,7.0
da11000_725.dk.dat.txt,11000,7.25
da11000_750.dk.dat.txt,11000,7.5
da11000_775.dk.dat.txt,11000,7.75
da11000_800.dk.dat.txt,11000,8.0
da11000_825.dk.dat.txt,11000,8.25
da11000_850.dk.dat.txt,11000,8.5
da11000_875.dk.dat.txt,11000,8.75
da11000_900.dk.dat.txt,11000,9.0
da11000_925.dk.dat.txt,11000,9.25
da11000_950.dk.dat.txt,11000,9.5
da11250_650.dk.dat.txt,11250,6.5
da11250_675.dk.dat.txt,11250,6.75
da11250_700.dk.dat.txt,11250,7.0
da11250_725.dk.dat.txt,11250,7.25
da11250_750.dk.dat.txt,11250,7.5
da11250_775.dk.dat.txt,11250,7.75
da11250_800.dk.dat.txt,11250,8.0
da11250_825.dk.dat.txt,11250,8.25
da11250_850.dk.dat.txt,11250,8.5
da11250_875.dk.dat.txt,11250,8.75
da11250_900.dk.dat.txt,11250,9.0
da11250_925.dk.dat.txt,11250,9.25
da11250_950.dk.dat.txt,11250,9.5
da11500_650.dk.dat.txt,11500,6.5
