file_name,Te,logg,MH,alpha
fm20t3500g30k2odfnew.fl.dat.txt,3500,3.0,-2.0,0.0
fm15t3500g30k2odfnew.fl.dat.txt,3500,3.0,-1.5,0.0
fm10t3500g30k2odfnew.fl.dat.txt,3500,3.0,-1.0,0.0
fm05t3500g30k2odfnew.fl.dat.txt,3500,3.0,-0.5,0.0
fp00t3500g30k2odfnew.fl.dat.txt,3500,3.0,0.0,0.0
fp02t3500g30k2odfnew.fl.dat.txt,3500,3.0,0.2,0.0
fp05t3500g30k2odfnew.fl.dat.txt,3500,3.0,0.5,0.0
fm25t3500g35k2odfnew.fl.dat.txt,3500,3.5,-2.5,0.0
fm20t3500g35k2odfnew.fl.dat.txt,3500,3.5,-2.0,0.0
fm15t3500g35k2odfnew.fl.dat.txt,3500,3.5,-1.5,0.0
fm10t3500g35k2odfnew.fl.dat.txt,3500,3.5,-1.0,0.0
fm05t3500g35k2odfnew.fl.dat.txt,3500,3.5,-0.5,0.0
fp00t3500g35k2odfnew.fl.dat.txt,3500,3.5,0.0,0.0
fp02t3500g35k2odfnew.fl.dat.txt,3500,3.5,0.2,0.0
fp05t3500g35k2odfnew.fl.dat.txt,3500,3.5,0.5,0.0
fm25t3500g40k2odfnew.fl.dat.txt,3500,4.0,-2.5,0.0
fm20t3500g40k2odfnew.fl.dat.txt,3500,4.0,-2.0,0.0
fm15t3500g40k2odfnew.fl.dat.txt,3500,4.0,-1.5,0.0
fm10t3500g40k2odfnew.fl.dat.txt,3500,4.0,-1.0,0.0
fm05t3500g40k2odfnew.fl.dat.txt,3500,4.0,-0.5,0.0
fp00t3500g40k2odfnew.fl.dat.txt,3500,4.0,0.0,0.0
fp02t3500g40k2odfnew.fl.dat.txt,3500,4.0,0.2,0.0
fp05t3500g40k2odfnew.fl.dat.txt,3500,4.0,0.5,0.0
fm25t3500g45k2odfnew.fl.dat.txt,3500,4.5,-2.5,0.0
fm20t3500g45k2odfnew.fl.dat.txt,3500,4.5,-2.0,0.0
fm15t3500g45k2odfnew.fl.dat.txt,3500,4.5,-1.5,0.0
fm10t3500g45k2odfnew.fl.dat.txt,3500,4.5,-1.0,0.0
fm05t3500g45k2odfnew.fl.dat.txt,3500,4.5,-0.5,0.0
fp00t3500g45k2odfnew.fl.dat.txt,3500,4.5,0.0,0.0
fp02t3500g45k2odfnew.fl.dat.txt,3500,4.5,0.2,0.0
fp05t3500g45k2odfnew.fl.dat.txt,3500,4.5,0.5,0.0
